index,u,y
0,0.826428147,-0.18976084399999998
1,0.763215834,2.61425177
2,0.754666628,0.058296657800000005
3,0.202754595,0.699602499
4,0.433393176,-0.721332868
5,0.353339878,0.621382454
6,0.99007106,0.0770298358
7,0.203958786,2.81019095
8,0.7318520620000001,-1.20281664
9,0.30974885,1.88797447
10,0.497315754,-0.293930915
11,0.18126162199999998,-0.0852437561
12,0.165590714,1.27352162
13,0.550497244,0.727574424
14,0.6881786059999999,2.32946842
15,0.974518381,-0.341611341
16,0.28843975899999996,1.77167805
17,0.7619476909999999,-1.03042703
18,0.22803526699999999,2.1322939
19,0.14432690199999998,-0.472121471
20,0.43856818799999997,-1.94851627
21,0.85206742,1.79085648
22,0.8468347829999999,1.84865123
23,0.09531556039999999,0.49780899700000003
24,0.655332438,-1.00600362
25,0.304628909,2.9716098
26,0.611432494,-2.30696812
27,0.793770839,1.80156097
28,0.666281636,1.59404554
29,0.11815616699999999,-1.15965596
30,0.262850211,-0.8812793940000001
31,0.975223553,2.55591229
32,0.913627856,1.55735129
33,0.6109855439999999,-1.0833502
34,0.23151059100000002,-0.191173948
35,0.643787083,-0.534766271
36,0.79419786,1.39449431
37,0.370911454,1.07293843
38,0.0605632213,-1.38808668
39,0.556680796,-0.846103642
40,0.24852116600000002,1.40889058
41,0.31411444899999996,0.36577816799999996
42,0.532618433,0.982900738
43,0.622055625,2.0323678
44,0.702103754,-1.77045884
45,0.40316778,0.813964947
46,0.466271041,1.12298242
47,0.860993247,-0.490882346
48,0.0037679769599999998,2.60242879
49,0.41925937399999996,-1.80136809
50,0.628854221,-0.22925936800000002
51,0.23843904100000002,1.51321346
52,0.45602092299999997,-2.87287804
53,0.862330048,1.21063448
54,0.44098375700000003,4.38474375
55,0.85185648,-3.9177129
56,0.741310315,5.23980454
57,0.259358088,0.189554692
58,0.342479419,-3.80189423
59,0.323352928,1.8992191
60,0.416613985,-0.323288124
61,0.60221973,-2.71037662
62,0.376327598,1.56375275
63,0.46242471700000004,2.19021485
64,0.11958874300000001,0.35956934799999996
65,0.739084814,0.20682266
66,0.947649374,2.97933268
67,0.49105828799999995,-0.0419241416
68,0.962064995,0.547594449
69,0.12682032,2.89481903
70,0.738345606,-2.54731027
71,0.393536616,1.25701479
72,0.7174002840000001,0.326718318
73,0.45426259700000005,0.0481906404
74,0.36308655799999995,1.95978867
75,0.518708595,-1.47708685
76,0.8542545570000001,0.40881225200000004
77,0.91085101,2.51999856
78,0.9412868790000001,0.638952217
79,0.411533511,1.64441233
80,0.0358865722,-2.80876084
81,0.27365977399999997,-1.96351861
82,0.656412425,0.7366209509999999
83,0.943126935,1.06489873
84,0.914625586,0.7591654990000001
85,0.153968471,-0.8925142309999999
86,0.868071693,-1.7396095
87,0.15096211,2.6229956
88,0.6942978609999999,-1.22584236
89,0.909146234,1.17728726
90,0.0711004211,1.74092433
91,0.91515315,-2.11344198
92,0.47907661700000004,3.39447791
93,0.505945295,-1.39892234
94,0.0999023624,-1.61366033
95,0.06900078230000001,2.13295511
96,0.6616628920000001,0.5553451079999999
97,0.647896582,2.27411969
98,0.9277127740000001,1.42088885
99,0.9144620440000001,0.9273151270000001
100,0.559673462,-0.48456943799999996
101,0.994875299,0.24386232800000002
102,0.706675202,1.60847094
103,0.80598272,0.6178605
104,0.7818458779999999,1.04405459
105,0.9778581959999999,1.50453061
106,0.5765478620000001,0.234749022
107,0.0786929356,-0.527376859
108,0.994015821,0.831899967
109,0.13113814699999998,4.58086759
110,0.580350921,-1.82972486
111,0.19000414300000001,1.42230689
112,0.243679724,-0.248755565
113,0.222741735,-2.14108552
114,0.540839145,2.74928223
115,0.9642026770000001,0.85054283
116,0.963580575,0.629485004
117,0.413417465,1.34112381
118,0.47491088,-0.425628157
119,0.560244035,2.67721298
120,0.130671675,1.6570247
121,0.9178840659999999,-2.58243473
122,0.10688206800000001,1.9235109
123,0.0818602678,-0.496765319
124,0.0583951842,-0.9409890040000001
125,0.8596165179999999,1.29789069
126,0.717576717,2.08875587
127,0.301682025,-1.26295153
128,0.0568889819,1.98681819
129,0.087291996,-1.30036924
130,0.19810007,1.15595512
131,0.778587048,0.712043635
132,0.303035232,2.28681617
133,0.565728133,-0.8318991290000001
134,0.34081657600000004,2.47030238
135,0.73917143,2.6227684
136,0.39727655700000003,0.819408813
137,0.926021797,1.8274028
138,0.590532425,1.76400395
139,0.7068449440000001,-2.71367619
140,0.779157917,1.16575624
141,0.20321171300000002,3.07879816
142,0.890057214,-2.42390862
143,0.670301815,3.47817742
144,0.531051577,1.27699859
145,0.23673460100000002,-0.112283837
146,0.316400381,2.22303543
147,0.318133422,-0.641480012
148,0.303260739,-0.105978775
149,0.0361884169,1.07599181
150,0.686146653,0.35187379700000004
151,0.705309785,1.88131648
152,0.730993146,2.09230253
153,0.845491725,1.77469074
154,0.59979746,1.89320881
155,0.7646596790000001,0.614117348
156,0.566646797,0.336598179
157,0.420302047,1.98023647
158,0.5933733520000001,2.22801564
159,0.183505492,-0.480219245
160,0.09805103849999999,-1.30909834
161,0.27715833300000003,-0.258346284
162,0.892583839,2.02597508
163,0.164579408,1.72230245
164,0.20175361100000003,-0.792152053
165,0.66633708,-0.194173732
166,0.11268741300000001,1.06778491
167,0.819001529,-2.00989825
168,0.756978514,4.38254456
169,0.142835768,1.13992645
170,0.19715675100000002,-4.76309894
171,0.90616056,3.10049517
172,0.184243116,2.22622448
173,0.42227433,-5.32617379
174,0.10559521,1.16879504
175,0.107570612,-0.29021278300000003
176,0.9722849370000001,-2.47751955
177,0.47415453700000004,3.98235069
178,0.127279034,-1.09667707
179,0.7256350970000001,-3.58284076
180,0.666174964,5.92925076
181,0.627649715,-1.88122782
182,0.7142884,-1.67470526
183,0.662929089,4.2702825
184,0.17993762300000002,-0.329239877
185,0.419124166,-2.46635411
186,0.0231443489,4.11088425
187,0.9053016340000001,-3.31103735
188,0.89404831,1.20249752
189,0.38104933700000004,1.67515213
190,0.238577918,-2.31507671
191,0.8320010240000001,1.47412271
192,0.7584070620000001,3.30990821
193,0.5914185989999999,-2.44589134
194,0.8573001459999999,0.544224075
195,0.10390872,3.65923498
196,0.274436758,-3.71630964
197,0.26708351199999997,0.43412742
198,0.43286753299999997,-0.16348976
199,0.409703947,-2.83913477
200,0.185766199,0.509144633
201,0.249808725,-0.40404745200000003
202,0.251115768,-1.10999465
203,0.906961452,1.96878687
204,0.35578468,1.36597239
205,0.747581611,-2.12131184
206,0.406805397,3.13308394
207,0.679433394,-1.09479695
208,0.0400518787,-1.44192897
209,0.0571864501,-0.253005237
210,0.828345098,1.50515246
211,0.505530409,1.88943735
212,0.40114389100000003,0.252464137
213,0.060651696399999996,1.28046629
214,0.8853811309999999,1.49182581
215,0.15839315,2.56651115
216,0.8994737620000001,-2.59342608
217,0.40258748200000005,2.18528706
218,0.7274998659999999,-0.553919484
219,0.775026309,0.41337155
220,0.5019492879999999,1.0124539
221,0.311574504,-1.72095124
222,0.287147101,-1.3273188
223,0.144501191,0.619570713
224,0.323684997,0.0700161048
225,0.09298356599999999,-0.29624017399999997
226,0.625160365,1.88387482
227,0.9405897520000001,-0.16526814
228,0.940708742,2.70906693
229,0.717597787,-1.13782721
230,0.194315307,0.14088437199999998
231,0.595551293,-0.400427996
232,0.377205233,1.75151793
233,0.452388348,-0.641855696
234,0.219792143,0.615871872
235,0.0124580874,2.13439792
236,0.3212463,-1.92692981
237,0.29494362399999996,1.64683613
238,0.0184808646,1.0037847
239,0.27514915300000004,-1.70326749
240,0.127982078,2.12443445
241,0.9195064009999999,-0.8890638820000001
242,0.12251048199999999,1.13324642
243,0.0072980929500000005,-1.31777377
244,0.883531327,-1.23894685
245,0.134866939,2.58340334
246,0.240518843,-2.06651693
247,0.816737378,1.10764342
248,0.271224475,5.04096223
